customer_id,customer_name,gender,age,city,state,region,signup_date,customer_segment
CUST00031,Geetha Menon,Female,34,Pune,Maharashtra,West,2024-07-20,New
CUST00032,Gaurav Mishra,Male,28,Bhopal,Madhya Pradesh,Central,2024-07-03,Premium
CUST00033,Sangeetha Agarwal,Female,25,Mumbai,Maharashtra,West,2023-12-15,New
CUST00034,Kavitha Rao,Female,37,Kochi,Kerala,South,2024-04-09,New
CUST00035,Geetha Malhotra,Female,41,Hyderabad,Telangana,South,2023-07-02,Regular
CUST00036,Sunil Agarwal,Male,40,Pune,Maharashtra,West,2023-11-02,Premium
CUST00037,Karthik Das,Male,24,Thiruvananthapuram,Kerala,South,2025-02-19,New
CUST00038,Ashok Verma,Male,29,Chennai,Tamil Nadu,South,2024-05-15,New
CUST00039,Praveen Das,Male,27,Gurugram,Haryana,North,2025-06-18,Regular
CUST00040,Rohan Gupta,Male,30,Gurugram,Haryana,North,2025-06-18,Regular
CUST00041,Vikram Kapoor,Male,39,Thiruvananthapuram,Kerala,South,2024-05-12,New
CUST00042,Karthik Bhat,Male,44,Chandigarh,Punjab,North,2024-05-01,Regular
CUST00043,Sanjay Subramaniam,Male,35,Hyderabad,Telangana,South,2025-06-12,Regular
CUST00044,Meena Ghosh,Female,26,Mysuru,Karnataka,South,2024-07-06,Premium
CUST00045,Nikhil Pillai,Male,31,Bengaluru,Karnataka,South,2024-02-13,Premium
CUST00046,Radha Mishra,Female,46,Jaipur,Rajasthan,North,2024-06-13,Regular
CUST00047,Manoj Gupta,Male,32,Gurugram,Haryana,North,2023-03-07,Regular
CUST00048,Kiran Bose,Male,29,Bengaluru,Karnataka,South,2023-08-24,Regular
CUST00049,Arjun Iyer,Male,30,Lucknow,Uttar Pradesh,North,2024-12-25,Premium
CUST00050,Manoj Iyer,Male,35,Hyderabad,Telangana,South,2023-02-02,Regular
CUST00051,Sathish Gupta,Male,24,Patna,Bihar,East,2023-10-13,Premium
CUST00052,Meena Bose,Female,27,Kochi,Kerala,South,2023-05-16,Premium
CUST00053,Lakshmi Sinha,Female,40,Kochi,Kerala,South,2024-04-29,Regular
CUST00054,Aditya Nair,Male,34,Ahmedabad,Gujarat,West,2024-11-05,Regular
CUST00055,Kavitha Chatterjee,Female,32,Kochi,Kerala,South,2024-04-23,Premium
CUST00056,Gaurav Agarwal,Male,40,Thiruvananthapuram,Kerala,South,2024-10-23,New
CUST00057,Deepak Kapoor,Male,25,Surat,Gujarat,West,2023-12-14,New
CUST00058,Ramesh Patel,Male,29,Jaipur,Rajasthan,North,2024-07-03,Regular
CUST00059,Ganesh Rao,Male,34,Mumbai,Maharashtra,West,2023-10-13,Regular
CUST00060,Sunil Ghosh,Male,34,Bengaluru,Karnataka,South,2023-03-19,Regular
CUST00061,Rohan Agarwal,Male,19,Nagpur,Maharashtra,West,2024-07-07,New
CUST00062,Praveen Malhotra,Male,28,Noida,Uttar Pradesh,North,2025-05-19,Regular
CUST00063,Ganesh Krishnan,Male,30,Bengaluru,Karnataka,South,2024-05-07,Regular
CUST00064,Pallavi Sharma,Female,35,Coimbatore,Tamil Nadu,South,2023-06-18,Regular
CUST00065,Deepak Menon,Male,34,Guwahati,Assam,East,2025-03-13,Regular
CUST00066,Kavitha Shetty,Female,31,Delhi,Delhi,North,2025-01-18,Regular
CUST00067,Kavya Patel,Female,18,Delhi,Delhi,North,2023-10-31,Regular
CUST00068,Kiran Kapoor,Male,31,Mumbai,Maharashtra,West,2024-07-09,New
CUST00069,Sneha Sharma,Female,32,Pune,Maharashtra,West,2024-08-21,Regular
CUST00070,Rohan Subramaniam,Male,54,Delhi,Delhi,North,2023-03-24,New
CUST00071,Ashok Iyer,Male,30,Nagpur,Maharashtra,West,2024-11-22,Regular
CUST00072,Ananya Mishra,Female,34,Chandigarh,Punjab,North,2024-08-06,Regular
CUST00073,Ashok Iyer,Male,42,Surat,Gujarat,West,2024-03-05,Premium
CUST00074,Kirti Menon,Female,38,Hyderabad,Telangana,South,2023-07-29,Premium
CUST00075,Lakshmi Menon,Female,44,Chennai,Tamil Nadu,South,2024-02-10,New
CUST00076,Radha Verma,Female,19,Bengaluru,Karnataka,South,2025-02-08,New
CUST00077,Naveen Desai,Male,23,Mumbai,Maharashtra,West,2024-07-30,New
CUST00078,Anand Patel,Male,26,Mysuru,Karnataka,South,2024-06-02,Regular
CUST00079,Praveen Das,Male,18,Chennai,Tamil Nadu,South,2025-06-21,New
CUST00080,Amit Pillai,Male,32,Ahmedabad,Gujarat,West,2023-06-11,Regular
CUST00081,Neha Sinha,Female,23,Bhubaneswar,Odisha,East,2024-10-31,Regular
CUST00082,Gaurav Chauhan,Male,45,Nagpur,Maharashtra,West,2024-07-21,Regular
CUST00083,Arun Reddy,Male,24,Patna,Bihar,East,2023-09-28,New
CUST00084,Harish Bose,Male,29,Thiruvananthapuram,Kerala,South,2023-06-09,Regular
CUST00085,Neha Patel,Female,39,Kochi,Kerala,South,2025-01-04,Regular
CUST00086,Gaurav Agarwal,Male,20,Bengaluru,Karnataka,South,2025-05-23,Regular
CUST00087,Anitha Mishra,Female,18,Pune,Maharashtra,West,2025-05-16,New
CUST00088,Vishal Chatterjee,Male,33,Thiruvananthapuram,Kerala,South,2025-04-29,Regular
CUST00089,Arjun Verma,Male,34,Noida,Uttar Pradesh,North,2025-02-28,New
CUST00090,Pooja Kapoor,Female,39,Noida,Uttar Pradesh,North,2024-03-28,Regular
CUST00091,Ramya Kumar,Female,36,Thiruvananthapuram,Kerala,South,2023-04-25,New
CUST00092,Anand Sharma,Male,34,Hyderabad,Telangana,South,2025-05-04,Regular
CUST00093,Ganesh Reddy,Male,25,Ahmedabad,Gujarat,West,2023-02-12,Regular
CUST00094,Pallavi Ghosh,Female,34,Kolkata,West Bengal,East,2025-03-26,New
CUST00095,Meena Bhat,Female,34,Mumbai,Maharashtra,West,2023-09-13,Premium
CUST00096,Amit Malhotra,Male,25,Ahmedabad,Gujarat,West,2024-07-27,Regular
CUST00097,Praveen Ghosh,Male,48,Chennai,Tamil Nadu,South,2023-08-31,New
CUST00098,Arun Chatterjee,Male,36,Surat,Gujarat,West,2023-01-26,New
CUST00099,Suma Ghosh,Female,23,Gurugram,Haryana,North,2024-02-26,Premium
CUST00100,Sanjay Rao,Male,39,Hyderabad,Telangana,South,2025-03-17,Premium
CUST00101,Deepak Yadav,Male,40,Chennai,Tamil Nadu,South,2023-02-09,Regular
CUST00102,Ramesh Chauhan,Male,35,Mysuru,Karnataka,South,2024-04-16,Regular
CUST00103,Rekha Sinha,Female,29,Delhi,Delhi,North,2025-06-11,Regular
CUST00104,Arjun Bhat,Male,25,Surat,Gujarat,West,2023-07-17,Regular
CUST00105,Anitha Yadav,Female,31,Thiruvananthapuram,Kerala,South,2023-03-13,Premium
CUST00106,Nithya Agarwal,Female,35,Chennai,Tamil Nadu,South,2024-06-05,Regular
CUST00107,Priya Nair,Female,32,Mysuru,Karnataka,South,2025-06-17,Regular
CUST00108,Kiran Menon,Male,45,Chandigarh,Punjab,North,2023-02-09,New
CUST00109,Nithya Kapoor,Female,37,Delhi,Delhi,North,2025-03-16,Regular
CUST00110,Neha Subramaniam,Female,24,Mumbai,Maharashtra,West,2023-04-29,Regular
CUST00111,Sanjay Sharma,Male,22,Bhubaneswar,Odisha,East,2024-12-26,Regular
CUST00112,Sathish Ghosh,Male,36,Guwahati,Assam,East,2025-04-05,Regular
CUST00113,Amit Chatterjee,Male,29,Mumbai,Maharashtra,West,2023-03-13,Premium
CUST00114,Neha Verma,Female,38,Patna,Bihar,East,2024-11-10,New
CUST00115,Geetha Pillai,Female,36,Guwahati,Assam,East,2024-11-13,Regular
CUST00116,Shalini Shetty,Female,31,Thiruvananthapuram,Kerala,South,2023-10-30,Regular
CUST00117,Ramesh Chatterjee,Male,24,Thiruvananthapuram,Kerala,South,2024-11-11,Regular
CUST00118,Ashok Joshi,Male,18,Gurugram,Haryana,North,2023-11-05,Regular
CUST00119,Vijay Pillai,Male,33,Bhubaneswar,Odisha,East,2023-08-04,Regular
CUST00120,Radha Naidu,Female,20,Coimbatore,Tamil Nadu,South,2024-03-28,Premium
CUST00121,Sathish Krishnan,Male,24,Chennai,Tamil Nadu,South,2025-03-23,Premium
CUST00122,Gaurav Iyer,Male,33,Raipur,Chhattisgarh,Central,2023-10-18,Regular
CUST00123,Divya Chauhan,Female,32,Thiruvananthapuram,Kerala,South,2025-02-08,Regular
CUST00124,Lakshmi Sinha,Female,21,Hyderabad,Telangana,South,2023-07-23,New
CUST00125,Rohan Gupta,Male,41,Noida,Uttar Pradesh,North,2024-05-01,Regular
CUST00126,Naveen Chatterjee,Male,41,Gurugram,Haryana,North,2025-06-26,Premium
CUST00127,Nikhil Shetty,Male,36,Thiruvananthapuram,Kerala,South,2024-01-29,Regular
CUST00128,Lakshmi Reddy,Female,36,Kolkata,West Bengal,East,2024-11-02,Premium
CUST00129,Arun Malhotra,Male,36,Kochi,Kerala,South,2025-05-31,Premium
CUST00130,Dinesh Chatterjee,Male,65,Chennai,Tamil Nadu,South,2023-08-13,New
CUST00131,Sneha Bose,Female,40,Thiruvananthapuram,Kerala,South,2023-09-13,New
CUST00132,Kavya Sinha,Female,37,Noida,Uttar Pradesh,North,2024-04-20,Premium
CUST00133,Sangeetha Mishra,Female,25,Mysuru,Karnataka,South,2024-03-29,Regular
CUST00134,Rekha Ghosh,Female,29,Mumbai,Maharashtra,West,2024-07-15,Regular
CUST00135,Harish Yadav,Male,52,Delhi,Delhi,North,2024-05-01,Regular
CUST00136,Sangeetha Gupta,Female,18,Mysuru,Karnataka,South,2025-05-10,Premium
CUST00137,Sangeetha Malhotra,Female,27,Nagpur,Maharashtra,West,2024-06-17,Regular
CUST00138,Sanjay Naidu,Male,41,Bengaluru,Karnataka,South,2023-03-21,Premium
CUST00139,Lakshmi Menon,Female,25,Chennai,Tamil Nadu,South,2023-12-10,Regular
CUST00140,Karthik Reddy,Male,38,Pune,Maharashtra,West,2023-08-25,Regular
CUST00141,Nikhil Patel,Male,32,Bengaluru,Karnataka,South,2023-03-07,Regular
CUST00142,Swathi Bose,Female,26,Chennai,Tamil Nadu,South,2024-04-22,Regular
CUST00143,Ramesh Chauhan,Male,18,Kochi,Kerala,South,2024-03-06,Regular
CUST00144,Sunil Mishra,Male,33,Delhi,Delhi,North,2025-02-22,Regular
CUST00145,Sunita Kumar,Female,24,Mumbai,Maharashtra,West,2023-12-27,Regular
CUST00146,Manisha Mishra,Female,30,Guwahati,Assam,East,2025-05-05,Regular
CUST00147,Prakash Gupta,Male,36,Lucknow,Uttar Pradesh,North,2023-10-07,Regular
CUST00148,Priya Mukherjee,Female,39,Ahmedabad,Gujarat,West,2023-12-11,Premium
CUST00149,Bhavana Rao,Female,27,Bengaluru,Karnataka,South,2025-05-10,Regular
CUST00150,Ashok Bose,Male,26,Coimbatore,Tamil Nadu,South,2023-01-28,Regular
CUST00151,Vikram Agarwal,Male,20,Guwahati,Assam,East,2024-03-14,New
CUST00152,Pooja Sharma,Female,40,Hyderabad,Telangana,South,2023-09-24,Regular
CUST00153,Meena Naidu,Female,51,Jaipur,Rajasthan,North,2023-12-01,Regular
CUST00154,Anitha Malhotra,Female,41,Delhi,Delhi,North,2025-05-01,Regular
CUST00155,Rekha Iyer,Female,43,Mumbai,Maharashtra,West,2024-04-26,New
CUST00156,Amit Gupta,Male,25,Nagpur,Maharashtra,West,2024-10-27,New
CUST00157,Dinesh Kumar,Male,35,Chandigarh,Punjab,North,2023-09-11,Regular
CUST00158,Ashok Reddy,Male,38,Pune,Maharashtra,West,2023-09-02,New
CUST00159,Preethi Nair,Female,18,Ahmedabad,Gujarat,West,2024-07-31,Regular
CUST00160,Vidya Menon,Female,22,Jaipur,Rajasthan,North,2025-02-24,Regular
CUST00161,Ashok Desai,Male,46,Chennai,Tamil Nadu,South,2025-02-04,Premium
CUST00162,Dinesh Chauhan,Male,19,Mumbai,Maharashtra,West,2023-06-17,Regular
CUST00163,Kiran Kumar,Male,44,Bengaluru,Karnataka,South,2023-11-16,Regular
CUST00164,Shalini Shetty,Female,19,Thiruvananthapuram,Kerala,South,2023-07-23,New
CUST00165,Aditya Shetty,Male,23,Pune,Maharashtra,West,2025-03-02,Regular
CUST00166,Mahesh Joshi,Male,36,Chennai,Tamil Nadu,South,2025-03-12,New
CUST00167,Ramya Chatterjee,Female,32,Bhubaneswar,Odisha,East,2024-11-08,Regular
CUST00168,Sathish Agarwal,Male,28,Mysuru,Karnataka,South,2023-12-16,New
CUST00169,Rekha Krishnan,Female,46,Jaipur,Rajasthan,North,2023-04-19,Regular
CUST00170,Sowmya Mishra,Female,20,Bengaluru,Karnataka,South,2025-04-28,Regular
CUST00171,Ganesh Rao,Male,30,Guwahati,Assam,East,2025-01-21,Regular
CUST00172,Neha Sinha,Female,37,Kolkata,West Bengal,East,2024-07-05,Premium
CUST00173,Radha Chatterjee,Female,34,Pune,Maharashtra,West,2025-04-25,Premium
CUST00174,Swathi Yadav,Female,26,Gurugram,Haryana,North,2023-09-09,New
CUST00175,Pallavi Naidu,Female,26,Nagpur,Maharashtra,West,2023-09-07,Premium
CUST00176,Aishwarya Desai,Female,39,Coimbatore,Tamil Nadu,South,2024-11-15,Regular
CUST00177,Priya Krishnan,Female,40,Hyderabad,Telangana,South,2025-05-21,Regular
CUST00178,Prakash Patel,Male,34,Kochi,Kerala,South,2023-12-30,Regular
CUST00179,Anitha Mishra,Female,24,Hyderabad,Telangana,South,2024-09-02,Premium
CUST00180,Ramya Kumar,Female,26,Kochi,Kerala,South,2024-06-13,New
CUST00181,Manoj Kapoor,Male,31,Noida,Uttar Pradesh,North,2024-02-21,Regular
CUST00182,Nikhil Krishnan,Male,33,Hyderabad,Telangana,South,2024-10-23,Premium
CUST00183,Radha Sinha,Female,36,Thiruvananthapuram,Kerala,South,2023-01-18,New
CUST00184,Lakshmi Mukherjee,Female,30,Jaipur,Rajasthan,North,2024-12-09,Regular
CUST00185,Preethi Joshi,Female,39,Nagpur,Maharashtra,West,2024-01-13,Regular
CUST00186,Kavitha Kapoor,Female,39,Kolkata,West Bengal,East,2024-07-17,Regular
CUST00187,Vidya Naidu,Female,43,Gurugram,Haryana,North,2023-10-05,Regular
CUST00188,Lakshmi Nair,Female,32,Thiruvananthapuram,Kerala,South,2025-01-08,New
CUST00189,Ananya Kapoor,Female,34,Guwahati,Assam,East,2024-07-02,Premium
CUST00190,Ramesh Patel,Male,30,Mysuru,Karnataka,South,2025-01-26,Regular
CUST00191,Bhavana Joshi,Female,24,Gurugram,Haryana,North,2025-02-17,Regular
CUST00192,Ananya Chauhan,Female,50,Gurugram,Haryana,North,2023-07-18,Regular
CUST00193,Amit Rao,Male,42,Kochi,Kerala,South,2023-11-06,New
CUST00194,Sanjay Sharma,Male,39,Kochi,Kerala,South,2023-02-25,Regular
CUST00195,Vidya Reddy,Female,31,Pune,Maharashtra,West,2024-10-15,Premium
CUST00196,Ananya Yadav,Female,23,Bengaluru,Karnataka,South,2023-01-13,Regular
CUST00197,Sunita Krishnan,Female,40,Noida,Uttar Pradesh,North,2024-03-27,Regular
CUST00198,Rohan Menon,Male,30,Nagpur,Maharashtra,West,2025-06-01,Regular
CUST00199,Ravi Iyer,Male,35,Chennai,Tamil Nadu,South,2024-02-15,Regular
CUST00200,Kiran Agarwal,Male,26,Nagpur,Maharashtra,West,2024-12-03,New
CUST00201,Karthik Sinha,Male,34,Pune,Maharashtra,West,2024-07-30,Regular
CUST00202,Manoj Nair,Male,27,Kochi,Kerala,South,2024-07-25,Premium
CUST00203,Neha Desai,Female,27,Pune,Maharashtra,West,2025-03-20,Regular
CUST00204,Dinesh Subramaniam,Male,34,Bhopal,Madhya Pradesh,Central,2024-01-25,Regular
CUST00205,Deepa Yadav,Female,18,Kochi,Kerala,South,2024-08-25,Regular
CUST00206,Aishwarya Desai,Female,19,Bhubaneswar,Odisha,East,2023-03-03,Regular
CUST00207,Dinesh Patel,Male,25,Hyderabad,Telangana,South,2024-10-02,Regular
CUST00208,Preethi Iyer,Female,30,Mysuru,Karnataka,South,2023-06-10,Regular
CUST00209,Anand Iyer,Male,39,Nagpur,Maharashtra,West,2023-06-10,New
CUST00210,Radha Shetty,Female,30,Chandigarh,Punjab,North,2024-08-31,Regular
CUST00211,Sneha Gupta,Female,31,Pune,Maharashtra,West,2023-10-23,Premium
CUST00212,Vidya Yadav,Female,29,Nagpur,Maharashtra,West,2024-04-09,New
CUST00213,Praveen Menon,Male,34,Hyderabad,Telangana,South,2025-03-17,Premium
CUST00214,Ganesh Nair,Male,24,Mysuru,Karnataka,South,2024-07-11,Regular
CUST00215,Praveen Menon,Male,31,Delhi,Delhi,North,2025-04-26,New
CUST00216,Rohan Rao,Male,35,Thiruvananthapuram,Kerala,South,2025-03-22,Regular
CUST00217,Radha Nair,Female,34,Pune,Maharashtra,West,2024-04-24,Premium
CUST00218,Vidya Mukherjee,Female,32,Bengaluru,Karnataka,South,2023-10-06,Regular
CUST00219,Radha Iyer,Female,32,Chennai,Tamil Nadu,South,2024-09-04,New
CUST00220,Bhavana Verma,Female,36,Coimbatore,Tamil Nadu,South,2024-09-10,Regular
CUST00221,Vikram Gupta,Male,51,Mysuru,Karnataka,South,2024-11-21,Regular
CUST00222,Dinesh Bhat,Male,25,Kolkata,West Bengal,East,2025-04-21,Regular
CUST00223,Dinesh Malhotra,Male,51,Delhi,Delhi,North,2023-06-29,Regular
CUST00224,Kirti Menon,Female,24,Ahmedabad,Gujarat,West,2023-07-05,Regular
CUST00225,Sowmya Chauhan,Female,18,Mysuru,Karnataka,South,2024-05-18,New
CUST00226,Nithya Chatterjee,Female,27,Pune,Maharashtra,West,2023-12-08,Regular
CUST00227,Sunil Rao,Male,35,Gurugram,Haryana,North,2023-12-04,Regular
CUST00228,Deepa Bhat,Female,48,Kochi,Kerala,South,2024-02-15,Premium
CUST00229,Naveen Iyer,Male,23,Kolkata,West Bengal,East,2023-11-19,Regular
CUST00230,Ananya Malhotra,Female,36,Kochi,Kerala,South,2024-02-18,Regular
CUST00231,Gaurav Yadav,Male,20,Patna,Bihar,East,2024-07-09,Regular
CUST00232,Sneha Patel,Female,48,Thiruvananthapuram,Kerala,South,2024-06-14,Regular
CUST00233,Sowmya Naidu,Female,42,Bhopal,Madhya Pradesh,Central,2025-02-17,New
CUST00234,Sanjay Bose,Male,27,Ahmedabad,Gujarat,West,2023-05-15,Regular
CUST00235,Pallavi Shetty,Female,18,Indore,Madhya Pradesh,Central,2024-05-11,New
CUST00236,Vishal Desai,Male,44,Thiruvananthapuram,Kerala,South,2025-03-29,Regular
CUST00237,Vijay Bose,Male,30,Lucknow,Uttar Pradesh,North,2023-01-15,Regular
CUST00238,Divya Gupta,Female,43,Delhi,Delhi,North,2025-05-11,New
CUST00239,Ananya Agarwal,Female,32,Hyderabad,Telangana,South,2025-05-02,New
CUST00240,Kirti Shetty,Female,32,Bhubaneswar,Odisha,East,2023-10-26,Regular
CUST00241,Kavitha Chauhan,Female,27,Jaipur,Rajasthan,North,2024-05-09,Regular
CUST00242,Naveen Bose,Male,37,Nagpur,Maharashtra,West,2023-05-29,Regular
CUST00243,Praveen Desai,Male,33,Surat,Gujarat,West,2024-06-04,Premium
CUST00244,Sunil Iyer,Male,36,Coimbatore,Tamil Nadu,South,2023-10-10,Premium
CUST00245,Swathi Ghosh,Female,18,Nagpur,Maharashtra,West,2025-03-17,Regular
CUST00246,Rekha Kumar,Female,43,Coimbatore,Tamil Nadu,South,2023-10-17,Premium
CUST00247,Rekha Joshi,Female,45,Bengaluru,Karnataka,South,2024-08-16,Premium
CUST00248,Manisha Reddy,Female,33,Thiruvananthapuram,Kerala,South,2024-04-02,Regular
CUST00249,Nithya Verma,Female,50,Thiruvananthapuram,Kerala,South,2024-07-19,Premium
CUST00250,Radha Ghosh,Female,47,Lucknow,Uttar Pradesh,North,2023-11-26,New
CUST00251,Kiran Mukherjee,Male,37,Coimbatore,Tamil Nadu,South,2023-08-28,Premium
CUST00252,Sneha Verma,Female,44,Surat,Gujarat,West,2025-02-01,Regular
CUST00253,Shalini Bhat,Female,41,Lucknow,Uttar Pradesh,North,2025-03-22,Premium
CUST00254,Prakash Sharma,Male,18,Jaipur,Rajasthan,North,2023-05-10,Regular
CUST00255,Manisha Nair,Female,29,Bengaluru,Karnataka,South,2025-06-14,Regular
CUST00256,Sathish Ghosh,Male,38,Hyderabad,Telangana,South,2024-04-12,New
CUST00257,Ganesh Yadav,Male,46,Thiruvananthapuram,Kerala,South,2024-11-01,New
CUST00258,Prakash Sinha,Male,19,Bhubaneswar,Odisha,East,2023-09-29,Regular
CUST00259,Sowmya Iyer,Female,18,Jaipur,Rajasthan,North,2025-05-22,Regular
CUST00260,Swathi Agarwal,Female,31,Bhopal,Madhya Pradesh,Central,2025-01-05,Premium
CUST00261,Manisha Bose,Female,18,Chennai,Tamil Nadu,South,2023-02-06,Regular
CUST00262,Manoj Agarwal,Male,31,Surat,Gujarat,West,2024-12-01,Regular
CUST00263,Harish Iyer,Male,35,Ahmedabad,Gujarat,West,2024-03-20,New
CUST00264,Naveen Rao,Male,23,Noida,Uttar Pradesh,North,2024-12-11,Regular
CUST00265,Rohan Verma,Male,31,Chennai,Tamil Nadu,South,2025-03-26,New
CUST00266,Nithya Das,Female,40,Ahmedabad,Gujarat,West,2024-03-17,New
CUST00267,Sathish Chatterjee,Male,27,Ahmedabad,Gujarat,West,2024-08-02,Premium
CUST00268,Suresh Rao,Male,24,Pune,Maharashtra,West,2023-03-22,Regular
CUST00269,Neha Bhat,Female,31,Surat,Gujarat,West,2023-09-04,Regular
CUST00270,Manoj Naidu,Male,22,Noida,Uttar Pradesh,North,2024-10-15,Regular
CUST00271,Anitha Bhat,Female,49,Mumbai,Maharashtra,West,2023-01-10,Regular
CUST00272,Preethi Bose,Female,32,Kochi,Kerala,South,2023-06-11,New
CUST00273,Nithya Joshi,Female,25,Thiruvananthapuram,Kerala,South,2023-11-03,Premium
CUST00274,Vidya Menon,Female,33,Patna,Bihar,East,2024-04-12,Regular
CUST00275,Deepak Yadav,Male,30,Kochi,Kerala,South,2024-05-09,New
CUST00276,Deepak Joshi,Male,30,Hyderabad,Telangana,South,2024-01-03,Regular
CUST00277,Vidya Pillai,Female,27,Noida,Uttar Pradesh,North,2023-01-23,Premium
CUST00278,Anitha Kumar,Female,26,Chandigarh,Punjab,North,2024-08-02,Premium
CUST00279,Praveen Desai,Male,18,Chandigarh,Punjab,North,2025-02-02,Regular
CUST00280,Sangeetha Sinha,Female,44,Hyderabad,Telangana,South,2023-08-24,Regular
CUST00281,Lakshmi Agarwal,Female,37,Bengaluru,Karnataka,South,2023-07-14,Regular
CUST00282,Preethi Malhotra,Female,34,Bengaluru,Karnataka,South,2025-01-08,Premium
CUST00283,Vishal Nair,Male,30,Bengaluru,Karnataka,South,2024-10-04,Premium
CUST00284,Vijay Sinha,Male,23,Surat,Gujarat,West,2024-03-27,New
CUST00285,Bhavana Reddy,Female,25,Mumbai,Maharashtra,West,2023-04-03,Regular
CUST00286,Bhavana Chatterjee,Female,19,Gurugram,Haryana,North,2023-06-29,Regular
CUST00287,Mahesh Bose,Male,26,Nagpur,Maharashtra,West,2025-06-16,Regular
CUST00288,Rekha Rao,Female,22,Thiruvananthapuram,Kerala,South,2023-09-21,Regular
CUST00289,Bhavana Yadav,Female,47,Kochi,Kerala,South,2023-12-13,New
CUST00290,Divya Reddy,Female,39,Chandigarh,Punjab,North,2025-02-11,Regular
CUST00291,Manisha Sinha,Female,32,Mysuru,Karnataka,South,2024-07-24,Regular
CUST00292,Mahesh Mukherjee,Male,24,Hyderabad,Telangana,South,2023-01-15,Regular
CUST00293,Naveen Das,Male,22,Delhi,Delhi,North,2024-11-19,Premium
CUST00294,Aishwarya Mukherjee,Female,30,Noida,Uttar Pradesh,North,2025-04-22,Premium
CUST00295,Ananya Bhat,Female,40,Noida,Uttar Pradesh,North,2023-08-28,Regular
CUST00296,Ashok Mishra,Male,49,Bhopal,Madhya Pradesh,Central,2024-07-28,Regular
CUST00297,Vishal Iyer,Male,19,Nagpur,Maharashtra,West,2024-10-12,Regular
CUST00298,Sowmya Chatterjee,Female,37,Ahmedabad,Gujarat,West,2023-04-30,New
CUST00299,Rohan Pillai,Male,26,Ahmedabad,Gujarat,West,2024-05-19,New
CUST00300,Manoj Mishra,Male,27,Delhi,Delhi,North,2024-07-04,New
CUST00301,Radha Das,Female,32,Lucknow,Uttar Pradesh,North,2024-11-17,Premium
CUST00302,Aishwarya Kapoor,Female,24,Bhopal,Madhya Pradesh,Central,2025-01-14,New
CUST00303,Sowmya Nair,Female,29,Indore,Madhya Pradesh,Central,2025-05-03,Regular
CUST00304,Anitha Sharma,Female,23,Thiruvananthapuram,Kerala,South,2024-12-07,Regular
CUST00305,Naveen Naidu,Male,26,Ahmedabad,Gujarat,West,2023-08-30,Regular
CUST00306,Gaurav Das,Male,38,Chennai,Tamil Nadu,South,2024-07-11,Premium
